wKey_Prefix	wKey_suffix
BSET_DURABLE_MEDICAL_EQUIPMENT-MS	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-MT	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-NC	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-ND	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-NE	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-NH	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-NJ	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-NM	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-NV	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-NY	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-OH	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-OK	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-OR	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-PA	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-RI	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-SC	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-SD	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-TN	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-TX	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-UT	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-VA	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-VT	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-WA	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-WI	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-WV	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-WY	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-AK	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-HI	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-PR	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-VI	FLT
BSET_DURABLE_MEDICAL_EQUIPMENT-DESCRIPTION	TXT
BSET_BUNDLING_EDIT-PRIMARYCODE	TXT
BSET_BUNDLING_EDIT-SECONDARYCODE	TXT
BSET_BUNDLING_EDIT-MODALLOWED	TXT
BSET_BUNDLING_EDIT-DESCRIPTION	TXT
BSET_EMPLOYER-EMPLOYER	TXT
BSET_EMPLOYER-STREETADDRESS	TXT
BSET_EMPLOYER-CITY	TXT
BSET_EMPLOYER-STATE	TXT
BSET_EMPLOYER-ZIP	TXT
BSET_EMPLOYER-PAYER	TXT
BSET_EMPLOYER-PAYERDESCRIPTION	TXT
BSET_DRUG-GROUP	TXT
BSET_DRUG-NDC_CODE	TXT
BSET_DRUG-BRAND_NAME	TXT
BSET_DRUG-GENERIC_PRODUCT_NAME	TXT
BSET_DRUG-ROUTE	TXT
BSET_DRUG-CATEGORY	TXT
BSET_DRUG-DRUG_ID	TXT
BSET_LAB_FEE_SCHEDULE-YEAR	INT
BSET_LAB_FEE_SCHEDULE-HCPC	TXT
BSET_LAB_FEE_SCHEDULE-MODIFIER	TXT
BSET_LAB_FEE_SCHEDULE-LIMIT	FLT
BSET_LAB_FEE_SCHEDULE-POINT	FLT
BSET_LAB_FEE_SCHEDULE-FLOOR	FLT
BSET_LAB_FEE_SCHEDULE-AL	FLT
BSET_LAB_FEE_SCHEDULE-GA	FLT
BSET_LAB_FEE_SCHEDULE-MS	FLT
BSET_LAB_FEE_SCHEDULE-AR	FLT
BSET_LAB_FEE_SCHEDULE-NM	FLT
BSET_LAB_FEE_SCHEDULE-OK	FLT
BSET_LAB_FEE_SCHEDULE-MO2	FLT
BSET_LAB_FEE_SCHEDULE-LA	FLT
BSET_LAB_FEE_SCHEDULE-FL	FLT
BSET_LAB_FEE_SCHEDULE-CT	FLT
BSET_LAB_FEE_SCHEDULE-IN	FLT
BSET_LAB_FEE_SCHEDULE-KS	FLT
BSET_LAB_FEE_SCHEDULE-NE	FLT
BSET_LAB_FEE_SCHEDULE-KY	FLT
BSET_LAB_FEE_SCHEDULE-MO1	FLT
BSET_LAB_FEE_SCHEDULE-MT	FLT
BSET_LAB_FEE_SCHEDULE-NY1	FLT
BSET_LAB_FEE_SCHEDULE-NY2	FLT
BSET_LAB_FEE_SCHEDULE-NJ	FLT
BSET_LAB_FEE_SCHEDULE-ND	FLT
BSET_LAB_FEE_SCHEDULE-SD	FLT
BSET_LAB_FEE_SCHEDULE-CO	FLT
BSET_LAB_FEE_SCHEDULE-WY	FLT
BSET_LAB_FEE_SCHEDULE-IA	FLT
BSET_LAB_FEE_SCHEDULE-AK	FLT
BSET_LAB_FEE_SCHEDULE-AZ	FLT
BSET_LAB_FEE_SCHEDULE-HI	FLT
BSET_LAB_FEE_SCHEDULE-NV	FLT
BSET_LAB_FEE_SCHEDULE-OR	FLT
BSET_LAB_FEE_SCHEDULE-WA	FLT
BSET_LAB_FEE_SCHEDULE-PA	FLT
BSET_LAB_FEE_SCHEDULE-RI	FLT
BSET_LAB_FEE_SCHEDULE-SC	FLT
BSET_LAB_FEE_SCHEDULE-TX	FLT
BSET_LAB_FEE_SCHEDULE-MD	FLT
BSET_LAB_FEE_SCHEDULE-DE	FLT
BSET_LAB_FEE_SCHEDULE-DC	FLT
BSET_LAB_FEE_SCHEDULE-VA	FLT
BSET_LAB_FEE_SCHEDULE-UT	FLT
BSET_LAB_FEE_SCHEDULE-WI	FLT
BSET_LAB_FEE_SCHEDULE-IL	FLT
BSET_LAB_FEE_SCHEDULE-MI	FLT
BSET_LAB_FEE_SCHEDULE-MN	FLT
BSET_LAB_FEE_SCHEDULE-PR	FLT
BSET_LAB_FEE_SCHEDULE-ID	FLT
BSET_LAB_FEE_SCHEDULE-TN	FLT
BSET_LAB_FEE_SCHEDULE-NC	FLT
BSET_LAB_FEE_SCHEDULE-NY3	FLT
BSET_LAB_FEE_SCHEDULE-OH	FLT
BSET_LAB_FEE_SCHEDULE-WV	FLT
BSET_LAB_FEE_SCHEDULE-CA1	FLT
BSET_LAB_FEE_SCHEDULE-ME	FLT
BSET_LAB_FEE_SCHEDULE-MA	FLT
BSET_LAB_FEE_SCHEDULE-NH	FLT
BSET_LAB_FEE_SCHEDULE-VT	FLT
BSET_LAB_FEE_SCHEDULE-CA2	FLT
BSET_LAB_FEE_SCHEDULE-DESCRIPTION	TXT
BSET_NPFS-YEAR	INT
BSET_NPFS-CPTCODE	TXT
BSET_NPFS-MOD	TXT
BSET_NPFS-WORKRVU	FLT
BSET_NPFS-NONFACRVU	FLT
BSET_NPFS-FACRVU	FLT
BSET_NPFS-MPRVU	FLT
BSET_NPFS-DESCRIPTION	TXT
BSET_NPFS-STATUSCODE	TXT
BSET_NPFS-PCTC	TXT
BSET_NPFS-MULTPROC	TXT
BSET_NPFS-BILATSURG	TXT
BSET_NPFS-ASSTSURG	TXT
BSET_NPFS-COSURG	TXT
BSET_NPFS-TEAMSURG	TXT
BSET_NPFS-GLOBALDAYS	TXT
BSET_NPFS-PREOP	TXT
BSET_NPFS-INTRAOP	TXT
BSET_NPFS-POSTOP	TXT
BSET_NPFS-ENDOBASE	TXT
BSET_HOSPITAL_APC-YEAR	INT
BSET_HOSPITAL_APC-PROCEDURECODE	TXT
BSET_HOSPITAL_APC-STATUSINDICATOR	TXT
BSET_HOSPITAL_APC-DESCRIPTION	TXT
BSET_HOSPITAL_APC-APC	TXT
BSET_HOSPITAL_APC-RELATIVEWEIGHT	FLT
BSET_HOSPITAL_APC-PAYMENTRATE	FLT
BSET_HOSPITAL_APC-NATIONALUNADJCOPAY	FLT
BSET_HOSPITAL_APC-MINUNADJCOPAY	FLT
BSET_INSURER_LOCATION-INSURANCECOMPANY	TXT
BSET_INSURER_LOCATION-LOCATIONNAME	TXT
BSET_INSURER_LOCATION-ADDRESS1	TXT
BSET_INSURER_LOCATION-ADDRESS2	TXT
BSET_INSURER_LOCATION-CITY	TXT
BSET_INSURER_LOCATION-STATE	TXT
BSET_INSURER_LOCATION-ZIP	TXT
BSET_ICD9_CODE-DIAGCODE	TXT
BSET_ICD9_CODE-DIAGDESC	TXT
BSET_TAXONOMY_CODE-CODE	TXT
BSET_TAXONOMY_CODE-TYPE	TXT
BSET_TAXONOMY_CODE-CLASSIFICATION	TXT
BSET_TAXONOMY_CODE-SPECIALIZATION	TXT
BSET_TAXONOMY_CODE-DEFINITION	TXT
BSET_TAXONOMY_CODE-NOTES	TXT
BSET_BUNDLING_EDIT_MUTUAL_EXCLUDE-CODE1	TXT
BSET_BUNDLING_EDIT_MUTUAL_EXCLUDE-CODE2	TXT
BSET_DRG-DRGCODE	TXT
BSET_DRG-MEDICALSERVICEGROUP	TXT
BSET_DRG-DRGTYPE	TXT
BSET_DRG-DRGTITLE	TXT
BSET_GPCI-YEAR	INT
BSET_GPCI-CARRIERNO	TXT
BSET_GPCI-LOCALITY	TXT
BSET_GPCI-LOCALITYNAME	TXT
BSET_GPCI-WORKGPCI	FLT
BSET_GPCI-PRACTICEGPCI	FLT
BSET_GPCI-MALPRACTICEGPCI	FLT
BSET_MODIFIER-MOD	TXT
BSET_MODIFIER-MODDESC	TXT
BSET_HOSPITAL_STATUS_CODE-HOSPSTATCODE	TXT
BSET_HOSPITAL_STATUS_CODE-HOSPSTATDESC	TXT
BSET_PHYSICIAN_STATUS_CODE-STATUSCODE	TXT
BSET_PHYSICIAN_STATUS_CODE-STATUSCODEDESC	TXT
BSET_PCTC-PCTC	TXT
BSET_PCTC-PCTCDESC	TXT
BSET_PLACE_OF_SERVICE-POS	TXT
BSET_PLACE_OF_SERVICE-POSDESC	TXT
BSET_FACILITY-HOSPITAL_ID	INT
BSET_FACILITY-HOSPITAL_NAME	TXT
BSET_FACILITY-STREET_ADDRESS	TXT
BSET_FACILITY-CITY	TXT
BSET_FACILITY-STATE	TXT
BSET_FACILITY-ZIP	TXT
BSET_BILL_TYPE_CODE-BILLTYPECODE	TXT
BSET_BILL_TYPE_CODE-DESCRIPTION	TXT
BSET_TYPE_OF_SERVICE-TOS	TXT
BSET_TYPE_OF_SERVICE-TOSDESC	TXT
BSET_NPI-NPI	INT
BSET_NPI-ENTITY_TYPE_CODE	TXT
BSET_NPI-REPLACEMENT_NPI	TXT
BSET_NPI-EMPLOYER_IDENTIFICATION_NUMBER_EIN	TXT
BSET_NPI-PROVIDER_ORGANIZATION_NAME_LEGAL_BUSINESS_NAME	TXT
BSET_NPI-PROVIDER_LAST_NAME_LEGAL_NAME	TXT
BSET_NPI-PROVIDER_FIRST_NAME	TXT
BSET_NPI-PROVIDER_MIDDLE_NAME	TXT
BSET_NPI-PROVIDER_NAME_PREFIX_TEXT	TXT
BSET_NPI-PROVIDER_NAME_SUFFIX_TEXT	TXT
BSET_NPI-PROVIDER_CREDENTIAL_TEXT	TXT
BSET_NPI-PROVIDER_OTHER_ORGANIZATION_NAME	TXT
BSET_NPI-PROVIDER_OTHER_ORGANIZATION_NAME_TYPE_CODE	TXT
BSET_NPI-PROVIDER_OTHER_LAST_NAME	TXT
BSET_NPI-PROVIDER_OTHER_FIRST_NAME	TXT
BSET_NPI-PROVIDER_OTHER_MIDDLE_NAME	TXT
BSET_NPI-PROVIDER_OTHER_NAME_PREFIX_TEXT	TXT
BSET_NPI-PROVIDER_OTHER_NAME_SUFFIX_TEXT	TXT
BSET_NPI-PROVIDER_OTHER_CREDENTIAL_TEXT	TXT
BSET_NPI-PROVIDER_OTHER_LAST_NAME_TYPE_CODE	TXT
BSET_NPI-PROVIDER_FIRST_LINE_BUSINESS_MAILING_ADDRESS	TXT
BSET_NPI-PROVIDER_SECOND_LINE_BUSINESS_MAILING_ADDRESS	TXT
BSET_NPI-PROVIDER_BUSINESS_MAILING_ADDRESS_CITY_NAME	TXT
BSET_NPI-PROVIDER_BUSINESS_MAILING_ADDRESS_STATE_NAME	TXT
BSET_NPI-PROVIDER_BUSINESS_MAILING_ADDRESS_POSTAL_CODE	TXT
BSET_NPI-PROVIDER_BUSINESS_MAILING_ADDRESS_COUNTRY_CODE_IF_OUTSIDE_U_S	TXT
BSET_NPI-PROVIDER_BUSINESS_MAILING_ADDRESS_TELEPHONE_NUMBER	TXT
BSET_NPI-PROVIDER_BUSINESS_MAILING_ADDRESS_FAX_NUMBER	TXT
BSET_NPI-PROVIDER_FIRST_LINE_BUSINESS_PRACTICE_LOCATION_ADDRESS	TXT
BSET_NPI-PROVIDER_SECOND_LINE_BUSINESS_PRACTICE_LOCATION_ADDRESS	TXT
BSET_NPI-PROVIDER_BUSINESS_PRACTICE_LOCATION_ADDRESS_CITY_NAME	TXT
BSET_NPI-PROVIDER_BUSINESS_PRACTICE_LOCATION_ADDRESS_STATE_NAME	TXT
BSET_NPI-PROVIDER_BUSINESS_PRACTICE_LOCATION_ADDRESS_POSTAL_CODE	TXT
BSET_NPI-PROVIDER_BUSINESS_PRACTICE_LOCATION_ADDRESS_COUNTRY_CODE_IF_OUTSIDE_U_S	TXT
BSET_NPI-PROVIDER_BUSINESS_PRACTICE_LOCATION_ADDRESS_TELEPHONE_NUMBER	TXT
BSET_NPI-PROVIDER_BUSINESS_PRACTICE_LOCATION_ADDRESS_FAX_NUMBER	TXT
BSET_NPI-PROVIDER_ENUMERATION_DATE	DTM
BSET_NPI-LAST_UPDATE_DATE	DTM
BSET_NPI-NPI_DEACTIVATION_REASON_CODE	TXT
BSET_NPI-NPI_DEACTIVATION_DATE	DTM
BSET_NPI-NPI_REACTIVATION_DATE	DTM
BSET_NPI-PROVIDER_GENDER_CODE	TXT
BSET_NPI-AUTHORIZED_OFFICIAL_LAST_NAME	TXT
BSET_NPI-AUTHORIZED_OFFICIAL_FIRST_NAME	TXT
BSET_NPI-AUTHORIZED_OFFICIAL_MIDDLE_NAME	TXT
BSET_NPI-AUTHORIZED_OFFICIAL_TITLE_OR_POSITION	TXT
BSET_NPI-AUTHORIZED_OFFICIAL_TELEPHONE_NUMBER	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_CODE_1	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_1	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_STATE_CODE_1	TXT
BSET_NPI-HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_CODE_2	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_2	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_STATE_CODE_2	TXT
BSET_NPI-HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_2	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_CODE_3	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_3	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_STATE_CODE_3	TXT
BSET_NPI-HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_3	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_CODE_4	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_4	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_STATE_CODE_4	TXT
BSET_NPI-HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_4	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_CODE_5	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_5	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_STATE_CODE_5	TXT
BSET_NPI-HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_5	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_CODE_6	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_6	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_STATE_CODE_6	TXT
BSET_NPI-HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_6	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_CODE_7	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_7	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_STATE_CODE_7	TXT
BSET_NPI-HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_7	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_CODE_8	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_8	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_STATE_CODE_8	TXT
BSET_NPI-HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_8	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_CODE_9	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_9	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_STATE_CODE_9	TXT
BSET_NPI-HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_9	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_CODE_10	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_10	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_STATE_CODE_10	TXT
BSET_NPI-HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_10	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_CODE_11	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_11	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_STATE_CODE_11	TXT
BSET_NPI-HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_11	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_CODE_12	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_12	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_STATE_CODE_12	TXT
BSET_NPI-HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_12	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_CODE_13	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_13	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_STATE_CODE_13	TXT
BSET_NPI-HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_13	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_CODE_14	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_14	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_STATE_CODE_14	TXT
BSET_NPI-HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_14	TXT
BSET_NPI-HEALTHCARE_PROVIDER_TAXONOMY_CODE_15	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_15	TXT
BSET_NPI-PROVIDER_LICENSE_NUMBER_STATE_CODE_15	TXT
BSET_NPI-HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_15	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_1	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_1	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_1	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_1	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_2	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_2	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_2	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_2	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_3	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_3	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_3	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_3	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_4	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_4	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_4	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_4	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_5	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_5	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_5	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_5	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_6	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_6	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_6	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_6	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_7	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_7	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_7	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_7	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_8	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_8	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_8	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_8	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_9	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_9	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_9	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_9	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_10	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_10	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_10	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_10	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_11	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_TYPE_CODE_11	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_STATE_11	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_ISSUER_11	TXT
BSET_NPI-OTHER_PROVIDER_IDENTIFIER_12	TXT
